"State","Year","Week","Predicted_Deaths"
"Alabama",2020,1,1165.92656990736
"Alabama",2020,2,1206.16746723256
"Alabama",2020,3,1207.24605544106
"Alabama",2020,4,1193.47954100718
"Alabama",2020,5,1135.0242482352
"Alabama",2020,6,1153.82362317274
"Alabama",2020,7,1114.78256041528
"Alabama",2020,8,1100.05185833839
"Alabama",2020,9,1032.64930680781
"Alabama",2020,10,1078.85721907148
"Alabama",2020,11,1107.46172163065
"Alabama",2020,12,1021.29424812571
"Alabama",2020,13,1053.39886628894
"Alabama",2020,14,1047.54348961325
"Alabama",2020,15,1049.53664712256
"Alabama",2020,16,1017.81286991545
"Alabama",2020,17,1024.96409782937
"Alabama",2020,18,1056.61407745022
"Alabama",2020,19,998.755582469869
"Alabama",2020,20,1022.90415410978
"Alabama",2020,21,997.249683798172
"Alabama",2020,22,1019.15085564707
"Alabama",2020,23,1041.36044834719
"Alabama",2020,24,983.1359887954
"Alabama",2020,25,1001.96920507691
"Alabama",2020,26,955.17167400666
"Alabama",2020,27,1019.75460123246
"Alabama",2020,28,1027.2087884972
"Alabama",2020,29,982.66508017933
"Alabama",2020,30,975.059135139966
"Alabama",2020,31,992.78126614157
"Alabama",2020,32,1004.51697020381
"Alabama",2020,33,978.07151395766
"Alabama",2020,34,963.510071236762
"Alabama",2020,35,976.077988342392
"Alabama",2020,36,995.910299778233
"Alabama",2020,37,973.922140121407
"Alabama",2020,38,968.013356526538
"Alabama",2020,39,1001.16465224937
"Alabama",2020,40,973.255564106562
"Alabama",2020,41,949.416237167105
"Alabama",2020,42,1011.0868992053
"Alabama",2020,43,1008.51729853038
"Alabama",2020,44,953.892692895344
"Alabama",2020,45,1020.83306091835
"Alabama",2020,46,1085.07822382765
"Alabama",2020,47,1047.26842849762
"Alabama",2020,48,1066.88352213179
"Alabama",2020,49,1078.53868507499
"Alabama",2020,50,1088.08377677166
"Alabama",2020,51,1125.34381902447
"Alabama",2020,52,1084.04882248369
"Alabama",2021,1,1139.80561415923
"Alabama",2021,2,1165.20029036148
